Gender,Month,sd30negplus,sd30neg,sd25neg,sd20neg,sd15neg,sd10neg,sd05neg,sd00,sd05,sd10,sd15,sd20,sd25,sd30
F,0,9.9,10.4,10.9,11.4,11.9,12.5,13.0,13.6,14.3,15.0,15.7,16.5,17.3,18.1
F,1,10.6,11.1,11.7,12.3,12.9,13.6,14.3,15.0,15.7,16.4,17.1,17.9,18.7,19.5
F,2,11.6,12.1,12.7,13.3,14.0,14.7,15.4,16.2,16.9,17.7,18.6,19.4,20.3,21.1
F,3,12.2,12.7,13.3,13.9,14.6,15.3,16.0,16.8,17.5,18.4,19.3,20.2,21.1,22.0
F,4,12.5,13.0,13.6,14.2,14.9,15.6,16.3,17.1,17.9,18.7,19.6,20.5,21.5,22.5
F,5,12.7,13.2,13.8,14.4,15.1,15.8,16.5,17.2,18.0,18.9,19.8,20.7,21.7,22.7
F,6,12.8,13.3,13.8,14.5,15.2,15.9,16.6,17.3,18.1,19.0,19.9,20.8,21.8,22.8
F,7,12.8,13.3,13.9,14.5,15.2,15.9,16.6,17.3,18.1,19.0,19.9,20.8,21.8,22.8
F,8,12.8,13.3,13.8,14.4,15.1,15.8,16.5,17.2,18.0,18.9,19.8,20.7,21.7,22.7
F,9,12.7,13.2,13.8,14.4,15.0,15.7,16.4,17.1,17.9,18.8,19.7,20.6,21.6,22.6
F,10,12.7,13.2,13.7,14.3,14.9,15.6,16.3,17.0,17.8,18.6,19.5,20.4,21.4,22.4
F,11,12.6,13.1,13.6,14.2,14.8,15.5,16.2,16.9,17.6,18.5,19.4,20.3,21.3,22.3
F,12,12.5,13.0,13.5,14.1,14.7,15.4,16.1,16.8,17.5,18.3,19.2,20.1,21.1,22.1
F,13,12.4,12.9,13.4,14.0,14.6,15.2,15.9,16.6,17.3,18.2,19.1,20.0,20.9,21.9
F,14,12.4,12.9,13.4,13.9,14.5,15.1,15.8,16.5,17.2,18.0,18.9,19.8,20.8,21.8
F,15,12.3,12.8,13.3,13.8,14.4,15.0,15.7,16.4,17.1,17.9,18.8,19.7,20.6,21.6
F,16,12.2,12.7,13.2,13.8,14.3,14.9,15.6,16.3,17.0,17.8,18.7,19.6,20.5,21.5
F,17,12.2,12.7,13.2,13.7,14.2,14.8,15.5,16.2,16.9,17.7,18.5,19.4,20.4,21.4
F,18,12.1,12.6,13.1,13.6,14.1,14.7,15.4,16.1,16.8,17.6,18.4,19.3,20.3,21.3
F,19,12.1,12.6,13.1,13.6,14.1,14.7,15.4,16.1,16.8,17.5,18.4,19.3,20.2,21.2
F,20,12.0,12.5,13.0,13.5,14.0,14.6,15.3,16.0,16.7,17.4,18.3,19.2,20.1,21.1
